user_id,feature,usage_count,avg_time_spent_minutes,satisfaction_score
user_775,task_management,74,23.84,2.48
user_776,collaboration,20,44.33,1.87
user_777,analytics,48,73.07,4.57
user_778,reports,51,115.47,2.1
user_779,analytics,9,55.62,1.24
user_780,dashboard,35,101.12,4.12
user_781,analytics,56,49.07,1.4
user_782,collaboration,72,20.76,4.1
user_783,settings,50,36.09,3.86
user_784,notifications,5,20.13,3.43
user_785,task_management,32,29.91,2.75
user_786,analytics,94,61.13,4.0
user_787,notifications,1,56.77,1.98
user_788,task_management,25,83.95,4.04
user_789,collaboration,85,84.73,3.47
user_790,reports,3,52.08,2.31
user_791,reports,10,104.89,3.87
user_792,task_management,30,106.23,3.8
user_793,dashboard,1,86.87,1.62
user_794,analytics,56,62.25,2.61
user_795,analytics,34,62.04,1.97
user_796,collaboration,71,56.79,1.03
user_797,reports,42,100.45,1.49
user_798,task_management,94,118.56,1.09
user_799,settings,84,85.67,1.02
user_800,analytics,61,75.59,2.04
user_801,task_management,16,29.47,2.51
user_802,notifications,46,51.58,1.61
user_803,analytics,85,70.25,3.04
user_804,dashboard,70,88.7,4.22
user_805,reports,3,96.66,4.09
user_806,task_management,15,42.27,2.64
user_807,task_management,58,100.7,2.12
user_808,collaboration,58,106.04,4.01
user_809,reports,13,114.35,4.21
user_810,reports,13,33.63,2.72
user_811,notifications,4,15.31,1.71
user_812,settings,69,74.53,2.61
user_813,notifications,3,107.35,2.23
user_814,collaboration,35,105.22,1.27
user_815,collaboration,81,97.89,1.35
user_816,settings,12,35.98,4.92
user_817,settings,53,44.22,2.57
user_818,task_management,13,36.3,2.12
user_819,notifications,72,77.43,2.92
user_820,dashboard,95,115.19,2.24
user_821,analytics,43,61.29,4.78
user_822,settings,46,69.86,4.79
user_823,collaboration,36,59.24,2.27
user_824,analytics,22,15.38,3.94
user_825,analytics,63,110.09,1.07
user_826,task_management,86,51.68,1.66
user_827,task_management,88,44.11,3.88
user_828,notifications,24,83.44,4.88
user_829,analytics,94,60.56,1.4
user_830,task_management,23,75.82,1.33
user_831,settings,14,110.12,2.25
user_832,dashboard,86,66.1,1.65
user_833,analytics,53,99.96,2.96
user_834,notifications,65,103.33,4.7
user_835,dashboard,48,28.11,1.8
user_836,reports,92,74.69,4.7
user_837,reports,21,62.87,4.29
user_838,notifications,98,22.17,3.18
user_839,task_management,40,77.36,4.72
user_840,reports,84,52.01,3.44
user_841,task_management,36,70.22,1.84
user_842,dashboard,31,13.89,3.43
user_843,settings,78,14.33,2.22
user_844,collaboration,33,116.89,1.42
user_845,dashboard,24,27.65,3.69
user_846,collaboration,75,118.64,2.91
user_847,collaboration,33,61.81,4.15
user_848,dashboard,21,117.7,4.42
user_849,collaboration,34,57.21,3.39
user_850,dashboard,59,94.74,3.43
user_851,dashboard,60,58.93,1.95
user_852,dashboard,40,29.18,1.92
user_853,task_management,78,107.59,1.58
user_854,settings,85,115.12,4.35
user_855,reports,26,22.78,1.12
user_856,collaboration,61,108.27,4.0
user_857,analytics,20,59.63,4.77
user_858,dashboard,90,42.3,4.1
user_859,task_management,73,32.8,4.32
user_860,reports,83,39.12,1.69
user_861,reports,93,82.59,4.15
user_862,reports,24,10.15,2.15
user_863,notifications,92,65.72,3.09
user_864,collaboration,10,109.69,1.94
user_865,analytics,85,78.76,4.44
user_866,collaboration,23,58.28,2.24
user_867,collaboration,51,84.86,4.46
user_868,settings,60,37.4,2.68
user_869,notifications,88,102.24,2.03
user_870,dashboard,57,29.37,4.95
user_871,notifications,52,93.42,2.47
user_872,reports,58,35.56,3.96
user_873,notifications,77,57.38,2.83
user_874,dashboard,60,77.36,3.41
user_875,task_management,20,77.18,2.41
user_876,dashboard,29,82.61,2.76
user_877,analytics,25,99.28,4.45
user_878,notifications,6,69.0,4.12
user_879,notifications,24,12.04,4.99
user_880,collaboration,12,74.42,2.62
user_881,analytics,53,112.69,1.59
user_882,task_management,3,35.15,3.98
user_883,dashboard,21,28.64,1.93
user_884,task_management,74,115.92,1.86
user_885,analytics,65,32.42,1.8
user_886,notifications,29,98.24,4.91
user_887,notifications,84,11.26,3.49
user_888,settings,85,90.92,3.25
user_889,collaboration,11,17.9,2.92
user_890,analytics,89,75.9,3.01
user_891,reports,24,62.72,1.14
user_892,task_management,40,13.19,1.78
user_893,dashboard,72,63.79,4.02
user_894,reports,3,14.7,3.89
user_895,dashboard,59,54.35,4.19
user_896,dashboard,4,27.27,1.6
user_897,notifications,74,113.16,3.62
user_898,collaboration,82,61.55,3.6
user_899,settings,40,111.14,1.89
user_900,settings,16,44.62,3.88
user_901,task_management,34,21.55,1.66
user_902,reports,8,85.96,4.62
user_903,dashboard,51,26.48,4.71
user_904,collaboration,40,35.38,4.89
user_905,settings,73,106.16,2.67
user_906,reports,96,106.78,4.66
user_907,collaboration,52,112.69,3.38
user_908,analytics,19,30.22,1.23
user_909,dashboard,86,30.46,2.87
user_910,analytics,49,104.89,2.76
user_911,settings,24,35.17,2.57
user_912,reports,100,35.42,3.95
user_913,notifications,83,63.72,2.85
user_914,reports,38,93.01,4.98
user_915,task_management,96,115.48,2.46
user_916,collaboration,66,36.42,4.39
user_917,task_management,30,13.06,1.68
user_918,reports,31,19.52,4.34
user_919,collaboration,71,108.19,1.97
user_920,reports,95,81.11,4.67
user_921,analytics,10,11.82,4.29
user_922,reports,100,57.72,3.71
user_923,collaboration,8,46.72,3.44
user_924,settings,96,68.24,3.84
user_925,collaboration,71,101.97,3.02
user_926,collaboration,43,28.14,3.58
user_927,dashboard,4,28.24,1.94
user_928,settings,67,71.53,2.16
user_929,analytics,62,11.83,2.14
user_930,task_management,24,69.84,3.49
user_931,notifications,54,66.54,2.75
user_932,task_management,65,12.76,4.62
user_933,task_management,44,113.3,4.26
user_934,settings,74,96.23,3.1
user_935,analytics,71,72.31,2.86
user_936,dashboard,85,96.85,2.75
user_937,settings,26,42.45,3.12
user_938,collaboration,76,67.01,3.77
user_939,dashboard,18,58.6,1.22
user_940,dashboard,29,98.37,2.15
user_941,settings,24,88.08,3.37
user_942,analytics,71,36.37,1.62
user_943,reports,65,92.97,3.36
user_944,collaboration,60,36.66,2.98
user_945,settings,62,50.55,3.9
user_946,task_management,13,61.0,4.67
user_947,collaboration,64,42.93,2.08
user_948,reports,87,65.65,4.13
user_949,task_management,43,110.79,2.73
user_950,settings,91,49.11,4.98
user_951,collaboration,3,106.59,3.5
user_952,notifications,33,28.39,3.93
user_953,notifications,20,106.29,4.33
user_954,collaboration,47,82.83,1.08
user_955,reports,37,113.53,1.58
user_956,task_management,1,80.38,1.16
user_957,dashboard,24,36.53,4.45
user_958,notifications,61,20.51,4.97
user_959,analytics,71,114.1,3.11
user_960,settings,43,101.89,4.23
user_961,task_management,12,72.87,2.98
user_962,notifications,14,42.54,4.78
user_963,notifications,82,16.62,3.31
user_964,dashboard,86,18.95,1.82
user_965,reports,53,69.22,4.24
user_966,notifications,95,21.4,1.73
user_967,reports,72,21.88,4.45
user_968,task_management,51,15.66,2.13
user_969,reports,2,65.1,3.79
user_970,dashboard,83,50.34,2.26
user_971,analytics,2,110.3,2.62
user_972,notifications,97,38.62,1.35
user_973,notifications,73,63.45,1.43
user_974,collaboration,21,79.84,3.07
user_975,analytics,64,31.21,2.64
user_976,dashboard,61,115.62,1.05
user_977,notifications,39,95.73,1.68
user_978,notifications,8,62.0,2.18
user_979,reports,30,101.02,3.42
user_980,analytics,71,35.31,1.21
user_981,settings,17,82.12,1.54
user_982,settings,51,88.68,4.23
user_983,analytics,50,84.56,2.13
user_984,dashboard,59,48.56,4.8
user_985,task_management,12,80.93,3.73
user_986,settings,56,90.12,2.57
user_987,task_management,5,30.17,2.97
user_988,dashboard,59,82.33,3.66
user_989,dashboard,53,102.42,4.13
user_990,dashboard,7,18.81,2.94
user_991,collaboration,6,39.91,3.81
user_992,dashboard,83,32.77,1.28
user_993,analytics,58,55.89,3.9
user_994,analytics,13,99.56,3.28
user_995,task_management,37,52.19,4.65
user_996,reports,87,117.39,1.06
user_997,settings,61,74.11,1.93
user_998,collaboration,37,38.72,4.29
user_999,notifications,73,25.95,3.44
user_1000,settings,46,84.66,2.87
